image,class_id,class_name,confidence,x1,y1,x2,y2
04ff146c-13216e9b-c11_jpg.rf.022abb1aa9ebd2fbced72721eb6750d1.jpg,2,Pore,0.7729374766349792,69,14,146,220
04ff146c-13216e9b-c11_jpg.rf.022abb1aa9ebd2fbced72721eb6750d1.jpg,0,Excess Reinforcement,0.7129091620445251,76,452,401,626
04ff146c-13216e9b-c11_jpg.rf.022abb1aa9ebd2fbced72721eb6750d1.jpg,2,Pore,0.6363248825073242,150,165,260,349
04ff146c-13216e9b-c11_jpg.rf.022abb1aa9ebd2fbced72721eb6750d1.jpg,0,Excess Reinforcement,0.5030730366706848,194,22,331,294
04ff146c-13216e9b-c11_jpg.rf.022abb1aa9ebd2fbced72721eb6750d1.jpg,2,Pore,0.484566330909729,119,312,264,505
04ff146c-13216e9b-c11_jpg.rf.06add46dbc12e911aad8b46adef69cd7.jpg,2,Pore,0.9139775037765503,225,56,289,234
04ff146c-13216e9b-c11_jpg.rf.06add46dbc12e911aad8b46adef69cd7.jpg,1,Crack,0.8524280190467834,302,74,502,294
04ff146c-13216e9b-c11_jpg.rf.06add46dbc12e911aad8b46adef69cd7.jpg,1,Crack,0.8076706528663635,165,65,383,459
04ff146c-13216e9b-c11_jpg.rf.06add46dbc12e911aad8b46adef69cd7.jpg,2,Pore,0.7702715396881104,397,283,496,480
04ff146c-13216e9b-c11_jpg.rf.06add46dbc12e911aad8b46adef69cd7.jpg,2,Pore,0.551381528377533,477,376,540,453
04ff146c-13216e9b-c11_jpg.rf.06add46dbc12e911aad8b46adef69cd7.jpg,2,Pore,0.5146248936653137,537,339,606,419
04ff146c-13216e9b-c11_jpg.rf.06add46dbc12e911aad8b46adef69cd7.jpg,2,Pore,0.5092418789863586,488,236,548,360
04ff146c-13216e9b-c11_jpg.rf.06add46dbc12e911aad8b46adef69cd7.jpg,0,Excess Reinforcement,0.3623177409172058,267,35,423,500
04ff146c-13216e9b-c11_jpg.rf.1cc5b34d2934261bad452dac567dae81.jpg,2,Pore,0.8824782371520996,195,69,268,136
04ff146c-13216e9b-c11_jpg.rf.1cc5b34d2934261bad452dac567dae81.jpg,2,Pore,0.8460990786552429,207,258,263,330
04ff146c-13216e9b-c11_jpg.rf.1cc5b34d2934261bad452dac567dae81.jpg,1,Crack,0.7278472781181335,148,54,369,319
